"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda","n"
0.2,0,0.495416666666667,0.00510315502131123,0.8,0,0.05,1.95,0
0.2,1,0.528472222222222,0.00416005006796039,0.8,0,0.05,1.95,0
0.8,0,0.502317708333333,0.002551557626166,0.8,0,0.05,1.95,0
0.8,1,0.52640625,0.00208044398893922,0.8,0,0.05,1.95,0
0.2,0,0.499791666666667,0.00510336899521127,0.8,0,0.05,1.95,1
0.2,1,0.525555555555556,0.00416136521519265,0.8,0,0.05,1.95,1
0.8,0,0.4990625,0.00255158055416696,0.8,0,0.05,1.95,1
0.8,1,0.518628472222222,0.00208190498682096,0.8,0,0.05,1.95,1
0.2,0,0.498020833333333,0.00510332945723156,0.8,0,0.05,1.95,3
0.2,1,0.515138888888889,0.00416490096290183,0.8,0,0.05,1.95,3
0.8,0,0.498880208333333,0.00255157864033567,0.8,0,0.05,1.95,3
0.8,1,0.523923611111111,0.00208096528436224,0.8,0,0.05,1.95,3
0.2,0,0.498229166666667,0.00510333743130255,0.8,0,0.05,1.95,4
0.2,1,0.520277777777778,0.00416338325204009,0.8,0,0.05,1.95,4
0.8,0,0.497135416666667,0.00255154316325006,0.8,0,0.05,1.95,4
0.8,1,0.52234375,0.00208127018058911,0.8,0,0.05,1.95,4
0.2,0,0.496145833333333,0.00510321781892943,0.8,0,0.1,1.95,0
0.2,1,0.546597222222222,0.00414867708501699,0.8,0,0.1,1.95,0
0.8,0,0.503046875,0.00255153766392886,0.8,0,0.1,1.95,0
0.8,1,0.550885416666667,0.00207253438589555,0.8,0,0.1,1.95,0
0.2,0,0.502708333333333,0.00510329457052449,0.8,0,0.1,1.95,1
0.2,1,0.544722222222222,0.00415010999061438,0.8,0,0.1,1.95,1
0.8,0,0.504505208333333,0.00255148145873295,0.8,0,0.1,1.95,1
0.8,1,0.548836805555556,0.00207338987634209,0.8,0,0.1,1.95,1
0.2,0,0.497291666666667,0.00510329457052449,0.8,0,0.1,1.95,3
0.2,1,0.550694444444444,0.00414533922633274,0.8,0,0.1,1.95,3
0.8,0,0.497578125,0.00255155510666895,0.8,0,0.1,1.95,3
0.8,1,0.551701388888889,0.00207218374954608,0.8,0,0.1,1.95,3
0.2,0,0.497604166666667,0.00510331085101747,0.8,0,0.1,1.95,4
0.2,1,0.545694444444444,0.0041493744094651,0.8,0,0.1,1.95,4
0.8,0,0.499895833333333,0.00255158498400604,0.8,0,0.1,1.95,4
0.8,1,0.548993055555556,0.00207332587747991,0.8,0,0.1,1.95,4
0.2,0,0.497083333333333,0.00510328260931287,0.8,0,0.2,1.95,0
0.2,1,0.604791666666667,0.00407426975624048,0.8,0,0.2,1.95,0
0.8,0,0.498880208333333,0.00255157864033567,0.8,0,0.2,1.95,0
0.8,1,0.602083333333333,0.00203946800186895,0.8,0,0.2,1.95,0
0.2,0,0.494895833333333,0.00510310352004231,0.8,0,0.2,1.95,1
0.2,1,0.608819444444444,0.00406693022056001,0.8,0,0.2,1.95,1
0.8,0,0.50234375,0.00255155700667451,0.8,0,0.2,1.95,1
0.8,1,0.602413194444444,0.00203918086709354,0.8,0,0.2,1.95,1
0.2,0,0.501666666666667,0.00510334108608092,0.8,0,0.2,1.95,3
0.2,1,0.596319444444444,0.00408876579642701,0.8,0,0.2,1.95,3
0.8,0,0.500651041666667,0.00255158287637263,0.8,0,0.2,1.95,3
0.8,1,0.598854166666667,0.00204222791787134,0.8,0,0.2,1.95,3
0.2,0,0.4978125,0.00510332059713807,0.8,0,0.2,1.95,4
0.2,1,0.602430555555556,0.0040784376684515,0.8,0,0.2,1.95,4
0.8,0,0.499791666666667,0.00255158481788721,0.8,0,0.2,1.95,4
0.8,1,0.599652777777778,0.00204155395872467,0.8,0,0.2,1.95,4
0.2,0,0.00427083333333333,0.000665600945620997,0.8,10,0.05,1.95,0
0.2,1,0.0547222222222222,0.00189537619155494,0.8,10,0.05,1.95,0
0.8,0,0.754739583333333,0.002195595527858,0.8,10,0.05,1.95,0
0.8,1,0.768211805555556,0.00175824209269537,0.8,10,0.05,1.95,0
0.2,0,0.0034375,0.0005973936858839,0.8,10,0.05,1.95,1
0.2,1,0.0522916666666667,0.00185518586180421,0.8,10,0.05,1.95,1
0.8,0,0.754453125,0.00219646040786872,0.8,10,0.05,1.95,1
0.8,1,0.765416666666667,0.0017655908200551,0.8,10,0.05,1.95,1
0.2,0,0.0040625,0.000649231725097608,0.8,10,0.05,1.95,3
0.2,1,0.05125,0.00183762403893717,0.8,10,0.05,1.95,3
0.8,0,0.753125,0.00220045317520747,0.8,10,0.05,1.95,3
0.8,1,0.765868055555556,0.00176441134631408,0.8,10,0.05,1.95,3
0.2,0,0.00395833333333333,0.000640887703664829,0.8,10,0.05,1.95,4
0.2,1,0.054375,0.00188970034261727,0.8,10,0.05,1.95,4
